segment_id,file_id,channel_id,platform,youtube_id,source_url,tiktok_handle,local_filename,start_time,end_time,duration,region,provenance_region,speaker_id,split,channel_split,snr_db,speech_ratio,quality
46,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,346.23,353.83,7.6,Cyrenaica,Cyrenaica,spk_00040,train,dev,26.34,0.9613,clean
47,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,353.83,363.046,9.216,Cyrenaica,Cyrenaica,spk_00040,train,dev,34.14,0.9468,clean
48,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,366.404,374.403,7.999,Cyrenaica,Cyrenaica,spk_00040,train,dev,24.42,0.9832,clean
49,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,375.044,381.929,6.885,Cyrenaica,Cyrenaica,spk_00040,train,dev,33.56,0.9248,clean
50,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,387.464,393.286,5.822,Cyrenaica,Cyrenaica,spk_00040,train,dev,23.79,0.9942,clean
51,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,393.809,397.409,3.6,Cyrenaica,Cyrenaica,spk_00040,train,dev,30.42,0.9906,clean
52,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,397.409,406.809,9.4,Cyrenaica,Cyrenaica,spk_00040,train,dev,33.29,0.9449,clean
53,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,406.809,410.549,3.74,Cyrenaica,Cyrenaica,spk_00040,train,dev,26.61,0.9738,clean
54,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,416.289,423.689,7.4,Cyrenaica,Cyrenaica,spk_00040,train,dev,28.37,0.9824,clean
55,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,423.689,427.289,3.6,Cyrenaica,Cyrenaica,spk_00040,train,dev,32.7,0.86,clean
56,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,427.289,435.068,7.779,Cyrenaica,Cyrenaica,spk_00040,train,dev,25.12,0.9915,clean
57,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,435.659,440.131,4.472,Cyrenaica,Cyrenaica,spk_00040,train,dev,28.36,0.9414,clean
58,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,442.966,446.105,3.139,Cyrenaica,Cyrenaica,spk_00040,train,dev,22.48,0.9994,clean
59,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,446.746,454.246,7.5,Cyrenaica,Cyrenaica,spk_00040,train,dev,29.87,0.9565,clean
60,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,457.765,461.14,3.375,Cyrenaica,Cyrenaica,spk_00040,train,dev,24.45,0.9804,clean
61,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,461.967,471.667,9.7,Cyrenaica,Cyrenaica,spk_00040,train,dev,27.51,0.9524,clean
62,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,471.667,478.367,6.7,Cyrenaica,Cyrenaica,spk_00040,train,dev,30.58,0.946,clean
63,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,478.367,485.867,7.5,Cyrenaica,Cyrenaica,spk_00040,train,dev,29.25,0.9651,clean
64,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,485.867,490.867,5.0,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.33,0.9356,clean
65,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,490.867,498.167,7.3,Cyrenaica,Cyrenaica,spk_00040,train,dev,30.17,0.9734,clean
66,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,498.167,503.367,5.2,Cyrenaica,Cyrenaica,spk_00040,train,dev,29.29,0.9688,clean
67,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,503.367,512.567,9.2,Cyrenaica,Cyrenaica,spk_00040,train,dev,27.41,0.963,clean
68,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,512.567,516.067,3.5,Cyrenaica,Cyrenaica,spk_00040,train,dev,33.51,0.916,clean
69,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,516.067,523.867,7.8,Cyrenaica,Cyrenaica,spk_00040,train,dev,28.57,0.9746,clean
70,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,523.867,531.967,8.1,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.84,0.9756,clean
71,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,531.967,535.067,3.1,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.14,0.8948,clean
72,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,535.067,538.267,3.2,Cyrenaica,Cyrenaica,spk_00040,train,dev,34.07,0.9594,clean
73,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,538.267,545.567,7.3,Cyrenaica,Cyrenaica,spk_00040,train,dev,29.12,0.937,clean
74,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,548.667,557.067,8.4,Cyrenaica,Cyrenaica,spk_00040,train,dev,28.7,0.8638,clean
75,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,557.067,566.767,9.7,Cyrenaica,Cyrenaica,spk_00040,train,dev,25.89,0.9829,clean
76,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,566.767,573.367,6.6,Cyrenaica,Cyrenaica,spk_00040,train,dev,24.62,0.9803,clean
77,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,573.367,582.067,8.7,Cyrenaica,Cyrenaica,spk_00040,train,dev,30.58,0.9517,clean
78,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,582.067,587.067,5.0,Cyrenaica,Cyrenaica,spk_00040,train,dev,28.58,0.9804,clean
79,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,587.067,592.767,5.7,Cyrenaica,Cyrenaica,spk_00040,train,dev,29.13,0.9828,clean
80,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,592.767,598.567,5.8,Cyrenaica,Cyrenaica,spk_00040,train,dev,26.0,0.9831,clean
81,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,598.567,603.751,5.184,Cyrenaica,Cyrenaica,spk_00040,train,dev,23.51,0.9811,clean
82,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,604.342,609.742,5.4,Cyrenaica,Cyrenaica,spk_00040,train,dev,25.26,0.9878,clean
83,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,609.742,613.242,3.5,Cyrenaica,Cyrenaica,spk_00040,train,dev,18.27,0.972,clean
84,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,613.242,618.642,5.4,Cyrenaica,Cyrenaica,spk_00040,train,dev,22.77,0.9819,clean
85,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,618.642,627.326,8.684,Cyrenaica,Cyrenaica,spk_00040,train,dev,27.49,0.9846,clean
86,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,0.031,4.931,4.9,Cyrenaica,Cyrenaica,spk_00040,train,dev,32.3,0.9996,clean
87,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,4.931,12.131,7.2,Cyrenaica,Cyrenaica,spk_00040,train,dev,35.47,0.91,clean
88,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,12.131,16.349,4.218,Cyrenaica,Cyrenaica,spk_00040,train,dev,30.19,0.9692,clean
89,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,16.855,21.255,4.4,Cyrenaica,Cyrenaica,spk_00040,train,dev,34.13,0.9227,clean
90,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,21.255,27.455,6.2,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.94,0.9577,clean
91,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,27.455,36.655,9.2,Cyrenaica,Cyrenaica,spk_00040,train,dev,27.96,0.9859,clean
92,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,36.655,41.455,4.8,Cyrenaica,Cyrenaica,spk_00040,train,dev,26.49,0.9596,clean
93,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,41.455,48.655,7.2,Cyrenaica,Cyrenaica,spk_00040,train,dev,24.4,0.9953,clean
94,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,48.655,55.355,6.7,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.47,0.9806,clean
95,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,55.355,63.042,7.687,Cyrenaica,Cyrenaica,spk_00040,train,dev,33.75,0.9748,clean
96,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,63.7,69.4,5.7,Cyrenaica,Cyrenaica,spk_00040,train,dev,29.64,0.994,clean
97,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,69.4,75.8,6.4,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.39,0.9847,clean
98,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,75.8,84.7,8.9,Cyrenaica,Cyrenaica,spk_00040,train,dev,32.31,0.949,clean
99,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,84.7,93.6,8.9,Cyrenaica,Cyrenaica,spk_00040,train,dev,24.94,0.989,clean
100,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,93.6,98.5,4.9,Cyrenaica,Cyrenaica,spk_00040,train,dev,29.11,0.9396,clean
101,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,98.5,103.6,5.1,Cyrenaica,Cyrenaica,spk_00040,train,dev,26.37,0.9682,clean
102,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,103.6,108.6,5.0,Cyrenaica,Cyrenaica,spk_00040,train,dev,24.67,0.9228,clean
103,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,108.6,117.6,9.0,Cyrenaica,Cyrenaica,spk_00040,train,dev,25.96,0.9276,clean
104,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,117.6,125.8,8.2,Cyrenaica,Cyrenaica,spk_00040,train,dev,26.16,0.992,clean
105,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,125.8,132.0,6.2,Cyrenaica,Cyrenaica,spk_00040,train,dev,32.45,0.9584,clean
106,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,132.0,139.199,7.199,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.38,0.9547,clean
107,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,139.857,145.459,5.602,Cyrenaica,Cyrenaica,spk_00040,train,dev,27.62,0.9647,clean
108,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,146.05,152.85,6.8,Cyrenaica,Cyrenaica,spk_00040,train,dev,24.35,0.9447,clean
109,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,152.85,160.55,7.7,Cyrenaica,Cyrenaica,spk_00040,train,dev,30.14,0.9494,clean
110,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,160.55,168.292,7.742,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.43,0.9703,clean
111,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,169.051,172.865,3.814,Cyrenaica,Cyrenaica,spk_00040,train,dev,29.96,0.9911,clean
112,8a6ddc66887b,Hakim Alzwey حكيم في بريطانيا,youtube,ygFfBDBkkUg,https://www.youtube.com/@HakimAlzwey/videos,,,173.86,176.898,3.038,Cyrenaica,Cyrenaica,spk_00040,train,dev,39.34,0.8822,clean
